source_candidate_tg,replace_side,original_smiles,replacement_smiles,replacement_source,replacement_label,replacement_template_family,replacement_template_intended_group,shared_groups,counterpart_groups,counterpart_compatibility_reason,feedback_constraint,tanimoto
195.02246564460987,a,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Oc1ccc(Oc2ccc(O)cc2)cc1,library,library_212,,,aromatic;ether;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-酚共固化/催化三聚。,preserve_complementary_reactive_pair,0.4090909090909091
195.02246564460987,b,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,N#COc1ccc(OC#N)cc1,literature_template,template_dicyanate_hydroquinone,cyanate_ester,cyanate_ester,aromatic;cyanate_ester;ether;nitrile,aromatic;ether;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.6363636363636364
195.02246564460987,b,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,N#COc1ccc(C(F)(F)c2ccc(OC#N)cc2)cc1,literature_template,template_dicyanate_fluoromethylene,cyanate_ester,cyanate_ester,aromatic;cyanate_ester;ether;nitrile,aromatic;ether;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.6296296296296297
195.02246564460987,b,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,N#COc1ccc(C(c2ccc(OC#N)cc2)(C(F)(F)F)C(F)(F)F)cc1,literature_template,template_dicyanate_hexafluoro_bisphenyl,cyanate_ester,cyanate_ester,aromatic;cyanate_ester;ether;nitrile,aromatic;ether;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.5862068965517241
195.02246564460987,b,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,Cc1ccc(OC#N)cc1,literature_template,template_cyanate_cresyl,cyanate_ester,cyanate_ester,aromatic;cyanate_ester;ether;nitrile,aromatic;ether;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.5769230769230769
195.02246564460987,b,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,N#COc1ccc(-c2ccc(OC#N)cc2)cc1,generated,generated_dicyanate_biphenyl,,,aromatic;cyanate_ester;ether;nitrile,aromatic;ether;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.56
194.9718692273616,a,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,N#COc1ccc(OC#N)cc1,literature_template,template_dicyanate_hydroquinone,cyanate_ester,cyanate_ester,aromatic;cyanate_ester;ether;nitrile,aromatic;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.6363636363636364
194.9718692273616,a,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,N#COc1ccc(C(F)(F)c2ccc(OC#N)cc2)cc1,literature_template,template_dicyanate_fluoromethylene,cyanate_ester,cyanate_ester,aromatic;cyanate_ester;ether;nitrile,aromatic;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.6296296296296297
194.9718692273616,a,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,N#COc1ccc(C(c2ccc(OC#N)cc2)(C(F)(F)F)C(F)(F)F)cc1,literature_template,template_dicyanate_hexafluoro_bisphenyl,cyanate_ester,cyanate_ester,aromatic;cyanate_ester;ether;nitrile,aromatic;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.5862068965517241
194.9718692273616,a,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,Cc1ccc(OC#N)cc1,literature_template,template_cyanate_cresyl,cyanate_ester,cyanate_ester,aromatic;cyanate_ester;ether;nitrile,aromatic;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.5769230769230769
