smiles_a,smiles_b,groups_a,groups_b,compatibility_reason,ratio_a,ratio_b,predicted_tg,target_distance,in_target_range,base_distance,loop_score,iteration
Nc1ccc(SSc2ccc(N)cc2)cc1,COc1cc(CC2CO2)ccc1OCc1ccc(COc2ccc(CC3CO3)cc2OC)cc1,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.5,0.5,195.19747330924235,0.1974733092423548,True,0.19747330924235484,-0.002526690757645167,2
O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,CC1(C)CC(CN)CC(CN)C1,aromatic;epoxy;ether,primary_amine,环氧-伯胺开环固化。,0.9,0.0999999999999999,194.802214616516,0.1977853834840175,True,0.1977853834839891,-0.0022146165160109033,2
COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;epoxy;ester;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.5,0.5,194.80095643976216,0.1990435602378397,True,0.19904356023783976,-0.000956439762160255,2
O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,Nc1ccccc1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.2,0.8,195.203321850849,0.2033218508489938,True,0.2033218508489938,0.0033218508489937792,2
Nc1ccc(SSc2ccc(N)cc2)cc1,COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1,aromatic;primary_amine,aromatic;epoxy;ether;hydroxyl;phenol,环氧-伯胺开环固化。,0.7,0.3,194.7949672331484,0.2050327668516445,True,0.20503276685158767,0.005032766851587656,2
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,0.1,0.9,195.20536621362467,0.2053662136246714,True,0.20536621362467145,0.005366213624671434,2
Nc1ccc(Cc2ccc(N)cc2)cc1,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.05,0.95,195.20585415270443,0.2058541527044326,True,0.20585415270443264,0.005854152704432625,2
Nc1cccc(N)c1,COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1,aromatic;primary_amine,aromatic;epoxy;ester;ether,环氧-伯胺开环固化。,0.8,0.1999999999999999,194.7914289918159,0.2085710081840943,True,0.20857100818409435,0.008571008184094342,2
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,CC(C)(c1occc1CN)c1occc1CN,aromatic;epoxy;ether;vinyl,aromatic;primary_amine,环氧-伯胺开环固化。,0.9,0.0999999999999999,195.2097692289321,0.2097692289320605,True,0.20976922893208894,0.009769228932088925,2
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,N#CNC(=N)N,aromatic;epoxy;ether,nitrile;primary_amine;secondary_amine,环氧-伯胺开环固化。,0.3,0.7,194.77279221195272,0.2272077880472807,True,0.2272077880472807,0.02720778804728069,2
